model,text,text_hash,predicted_label,predicted_score,all_labels,all_scores,status
facebook_bart,FRACTURE OF THE LOWER EPIPHYSIS OF THE HUM,9a1850cd03cac96f2371e0130a2bf46a,low severity,0.7706000208854675,"['low severity', 'critical', 'medium severity', 'moderate severity', 'high severity']","[0.7706000208854675, 0.1144014447927475, 0.0499921478331089, 0.044959306716918945, 0.020047102123498917]",success
facebook_bart,UPPER MAXILLARY TRAUMA,68a4680e2c30cd74e3140794e0567a30,medium severity,0.4462927281856537,"['medium severity', 'high severity', 'moderate severity', 'critical', 'low severity']","[0.4462927281856537, 0.2827364206314087, 0.1811705231666565, 0.06281100958585739, 0.026989316567778587]",success
facebook_bart,ACROMEGALY AND PITUITARY GIGANTISM,dffcf81182ccb423603c976b9c06ff76,high severity,0.6981124877929688,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.6981124877929688, 0.18460503220558167, 0.06816492229700089, 0.02712852694094181, 0.0219890084117651]",success
facebook_bart,RIGHT HAND THUMB GRANULOMA,1d9467cc3bbbdadbba8d28e1a9b17216,critical,0.3048052191734314,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.3048052191734314, 0.2208765596151352, 0.19952857494354248, 0.14967161417007446, 0.12511804699897766]",success
facebook_bart,DIZZINESS,218366f74b38bb252c5b712aae4b65e1,high severity,0.5848667621612549,"['high severity', 'low severity', 'critical', 'medium severity', 'moderate severity']","[0.5848667621612549, 0.15539410710334778, 0.1429053694009781, 0.0830269306898117, 0.033806830644607544]",success
facebook_bart,FX RIGHT WRIST,8d5d430df7737f86e7437f1050598c8c,critical,0.3478805124759674,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.3478805124759674, 0.20554424822330475, 0.1899695247411728, 0.14756806194782257, 0.10903768986463547]",success
facebook_bart,CONGENITAL MALFORMATIONS OF FIXATION,6f827e43242a9c970d3ef285d7c8fbb4,critical,0.37908777594566345,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.37908777594566345, 0.29842087626457214, 0.16082622110843658, 0.10693085938692093, 0.05473430082201958]",success
facebook_bart,HYPERTROPHY OF THE TONSILS WITH HYPERTR,7ed2012b9e5fe59d5f8183fa5eb1f5bb,high severity,0.6868706941604614,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.6868706941604614, 0.19757507741451263, 0.05785661190748215, 0.03204580023884773, 0.025651810690760612]",success
facebook_bart,ADVICE AND GENERAL ADVICE ON THE,fc7883fe806e30d0d56759fa37bdc0ae,critical,0.49375268816947937,"['critical', 'medium severity', 'moderate severity', 'low severity', 'high severity']","[0.49375268816947937, 0.17778033018112183, 0.1434248834848404, 0.10341687500476837, 0.08162515610456467]",success
facebook_bart,TERMINAL RENL INSUFFICIENCY,1f8e0660113c1381b5ff4220a68230f5,high severity,0.4519733488559723,"['high severity', 'low severity', 'critical', 'medium severity', 'moderate severity']","[0.4519733488559723, 0.2930763363838196, 0.18754033744335175, 0.04029596969485283, 0.027114013209939003]",success
facebook_bart,HEMORRHOIDS,48530d9c37e20fba553528105a423d4e,high severity,0.8394185304641724,"['high severity', 'critical', 'moderate severity', 'medium severity', 'low severity']","[0.8394185304641724, 0.07610543072223663, 0.04607868567109108, 0.022710848599672318, 0.01568647474050522]",success
facebook_bart,HAMMER TOE EFORMITY,df5f7d586fa31a975fa62c7b232aecb3,high severity,0.915621817111969,"['high severity', 'critical', 'low severity', 'medium severity', 'moderate severity']","[0.915621817111969, 0.06080887094140053, 0.010091310366988182, 0.007810174021869898, 0.005667809396982193]",success
facebook_bart,ABDOMINAL PAIN.,982230e0026fcb08063a10698dfac2a9,high severity,0.4224926829338074,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.4224926829338074, 0.21576204895973206, 0.1764724850654602, 0.10670876502990723, 0.07856403291225433]",success
facebook_bart,RIGHT HIP DYSPLASIA,5f51f91bfc03c9ec179f872565906dc1,high severity,0.3926272690296173,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.3926272690296173, 0.19717153906822205, 0.15643581748008728, 0.13197383284568787, 0.12179151922464371]",success
facebook_bart,SEQUELUES ​​OF COMPLICATED PNEUMONIA,8350d3003f88c3a190d59247186d7293,high severity,0.3711116313934326,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.3711116313934326, 0.28146296739578247, 0.20311158895492554, 0.07532598823308945, 0.06898774951696396]",success
facebook_bart,GLAUCOMA,0c2a8b6a61f685c5bc77ae4216cd1f08,critical,0.24209456145763397,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.24209456145763397, 0.23552708327770233, 0.21599622070789337, 0.16232766211032867, 0.14405448734760284]",success
facebook_bart,NASOPHARYNX CANCER,3a401b5fe1e46e48c50e5f47da443a39,high severity,0.3788973093032837,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.3788973093032837, 0.33715495467185974, 0.15354382991790771, 0.06698738783597946, 0.06341646611690521]",success
facebook_bart,CONVULSIVE SYND,a631b5cedbfd75db4df25192616dab46,moderate severity,0.3467375934123993,"['moderate severity', 'high severity', 'low severity', 'medium severity', 'critical']","[0.3467375934123993, 0.29176488518714905, 0.17940320074558258, 0.10397429019212723, 0.07812001556158066]",success
facebook_bart,DONOR,1e7330d9ca51f6df7e2cce1c889cf3c8,low severity,0.32495492696762085,"['low severity', 'medium severity', 'moderate severity', 'critical', 'high severity']","[0.32495492696762085, 0.24859492480754852, 0.18467865884304047, 0.13894084095954895, 0.1028306782245636]",success
facebook_bart,KIDNEY FAILURE,13317148d231d5fb5812dbfdbddd7380,critical,0.3132227659225464,"['critical', 'high severity', 'medium severity', 'low severity', 'moderate severity']","[0.3132227659225464, 0.2999827563762665, 0.19432643055915833, 0.10185597836971283, 0.09061208367347717]",success
facebook_bart,LEFT ROTATOR Cuff INJURY,a5145eb20b46705137144eec61ee9984,high severity,0.36335453391075134,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.36335453391075134, 0.3154330551624298, 0.1703367382287979, 0.09409024566411972, 0.05678544566035271]",success
facebook_bart,ADENOIDECTOMY AND VENTILATORY TUBES,e950c6ef027f2311c267975a64c55d2a,critical,0.4151194393634796,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.4151194393634796, 0.1851297914981842, 0.1643514484167099, 0.13974691927433014, 0.09565238654613495]",success
facebook_bart,LEFT KNEE ACL INJURY,2dd200960705fffd67c1dbfb6a983d68,high severity,0.3774213194847107,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.3774213194847107, 0.2637275457382202, 0.17846331000328064, 0.107926145195961, 0.07246168702840805]",success
facebook_bart,CATARACT BOTH EYES,dce61448f9eef9604649455680ae232d,critical,0.4005473852157593,"['critical', 'high severity', 'medium severity', 'low severity', 'moderate severity']","[0.4005473852157593, 0.2683209180831909, 0.20575910806655884, 0.07250738143920898, 0.05286518856883049]",success
facebook_bart,VOCAL CORD INJURY,57ad599c943ca21c605947de9132637d,high severity,0.3413943946361542,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.3413943946361542, 0.30692368745803833, 0.18163341283798218, 0.09975427389144897, 0.07029415667057037]",success
facebook_bart,INTERSTITIAL CYSTITIS,b07011bb72029a17cad02e8acfdcfe57,high severity,0.5379682183265686,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.5379682183265686, 0.2285168468952179, 0.12293975800275803, 0.06772805005311966, 0.042847104370594025]",success
facebook_bart,BAD INTESTINAL ROTATION???,12784789bc75fc844454e95d98ac5e94,high severity,0.6031503081321716,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.6031503081321716, 0.22624880075454712, 0.07771919667720795, 0.058079857379198074, 0.03480183333158493]",success
facebook_bart,LEFT GUTEOUS MASS,9c88145504860378782cc908826a28f0,high severity,0.8420355319976807,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.8420355319976807, 0.09108507633209229, 0.04019590839743614, 0.016127901151776314, 0.010555512271821499]",success
facebook_bart,EYELID TUMOR RIGHT EYE,6774dc86ec6bcd8b01ebba274ae7fc53,critical,0.4358941912651062,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.4358941912651062, 0.3226677477359772, 0.11752751469612122, 0.07146814465522766, 0.052442461252212524]",success
facebook_bart,CHALAZION,e521ffe6cb2e36bc4f2884e7a0060dcd,high severity,0.6574786901473999,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.6574786901473999, 0.24147894978523254, 0.046287983655929565, 0.034514736384153366, 0.020239679142832756]",success
facebook_bart,TUMOR IN MY RIGHT,4709320f9777ceddc131aad55429496e,high severity,0.615236759185791,"['high severity', 'critical', 'low severity', 'medium severity', 'moderate severity']","[0.615236759185791, 0.26031380891799927, 0.05037616938352585, 0.04258301854133606, 0.03149023652076721]",success
facebook_bart,FINGER DEFORMITY,e62ab0d46a8a80f16e8954ebfb2b4da1,critical,0.33932575583457947,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.33932575583457947, 0.26469942927360535, 0.18002349138259888, 0.11777789145708084, 0.09817339479923248]",success
facebook_bart,ACID-PEPTIC DISEASE,9783a10dbb86e674420a1c1ff19c15aa,high severity,0.7804139256477356,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.7804139256477356, 0.09711936861276627, 0.061951737850904465, 0.03057393617928028, 0.02994098886847496]",success
facebook_bart,EYELID MASS SUP OD,a74a872fa8025913eb521f01ebec4fd8,high severity,0.7414186596870422,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.7414186596870422, 0.1689642369747162, 0.045686572790145874, 0.030323687940835953, 0.013606873340904713]",success
facebook_bart,RETINACULAR CYST,c78765f283e630ac08be78e9374d1695,high severity,0.5345841646194458,"['high severity', 'critical', 'low severity', 'medium severity', 'moderate severity']","[0.5345841646194458, 0.20244725048542023, 0.15345092117786407, 0.06599343568086624, 0.04352418705821037]",success
facebook_bart,G1P0/EMBZO TERMINATED,d6ae96bf11071e01c5f62a0cccfbcfd6,high severity,0.4194365441799164,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.4194365441799164, 0.21911489963531494, 0.18353411555290222, 0.0971117615699768, 0.08080264180898666]",success
facebook_bart,ESOPHAGEAL STENOSE,d63b18874312d98f1730f3bcfa90bd30,high severity,0.7871708869934082,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.7871708869934082, 0.11523400247097015, 0.06004521623253822, 0.020218292251229286, 0.01733158342540264]",success
facebook_bart,CARPAL TUNNEL,5562d760b833eb94e3ee1ccf53bebe01,critical,0.3779969811439514,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.3779969811439514, 0.19124643504619598, 0.18842343986034393, 0.12124701589345932, 0.12108612060546875]",success
facebook_bart,"GOITRE, THYROID NODULE.",0904ed046b45e1c02334d46fb16c8aa8,low severity,0.44323843717575073,"['low severity', 'high severity', 'medium severity', 'critical', 'moderate severity']","[0.44323843717575073, 0.1789838820695877, 0.15219224989414215, 0.1294202357530594, 0.09616518765687943]",success
facebook_bart,HEADACHE.,88fbbd0190e12a3ad674815e26279ba2,high severity,0.6915113925933838,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.6915113925933838, 0.22409896552562714, 0.042114902287721634, 0.022617366164922714, 0.019657449796795845]",success
facebook_bart,JOINT PAIN,6462e616ee29e98f7eac6c694bb0cae8,high severity,0.489040344953537,"['high severity', 'medium severity', 'critical', 'low severity', 'moderate severity']","[0.489040344953537, 0.19347570836544037, 0.18693146109580994, 0.06620003283023834, 0.06435249745845795]",success
facebook_bart,LEFT ANKLE SPRAIN.,8a4c7c7b26e6ece5f3613ea7935188a2,critical,0.2889482080936432,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.2889482080936432, 0.231244757771492, 0.19020554423332214, 0.15752850472927094, 0.13207294046878815]",success
facebook_bart,TQT PRESTOMAL GRANULOMAS,d7062474389a9692f182d3c7b25b57dc,critical,0.2757355570793152,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.2757355570793152, 0.2143290787935257, 0.19674287736415863, 0.19159522652626038, 0.12159732729196548]",success
facebook_bart,ANAL FISSURE.,05f6c08283a9e50c9dffde03135b3539,critical,0.35210222005844116,"['critical', 'medium severity', 'high severity', 'moderate severity', 'low severity']","[0.35210222005844116, 0.2043030858039856, 0.1951671540737152, 0.14944913983345032, 0.09897831827402115]",success
facebook_bart,TRAUMA MY,42a1eb2d052d699bf5fb09abe2811574,critical,0.2659662961959839,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.2659662961959839, 0.24970178306102753, 0.2415412962436676, 0.154078409075737, 0.08871220797300339]",success
facebook_bart,EPIGASTRALGIA,69c81a2bb1d0c2ed561b1de5e78f79ad,high severity,0.3954722583293915,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.3954722583293915, 0.3393194377422333, 0.13916265964508057, 0.07762417197227478, 0.048421476036310196]",success
facebook_bart,Narrowness of the bile duct,068ad8b5eb2786a27afd7389934be615,low severity,0.2772009074687958,"['low severity', 'medium severity', 'critical', 'moderate severity', 'high severity']","[0.2772009074687958, 0.25595125555992126, 0.21560421586036682, 0.1359816938638687, 0.11526194959878922]",success
facebook_bart,CYST AND TEETH INCLUDED,d0512e2b082d8ac34b88e8b67529b03c,critical,0.32361477613449097,"['critical', 'high severity', 'moderate severity', 'medium severity', 'low severity']","[0.32361477613449097, 0.31564557552337646, 0.12278531491756439, 0.1206202283501625, 0.11733414977788925]",success
facebook_bart,SRONOPATHY,48b8819724bf5b0669a58a3b5edf6d0b,high severity,0.579740583896637,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.579740583896637, 0.23191086947917938, 0.08948914706707001, 0.06830461323261261, 0.03055482544004917]",success
facebook_bart,SUSPECTED CELIAC DISEASE,a03e463a93ae744eb5e11a4044e31734,critical,0.38351646065711975,"['critical', 'high severity', 'medium severity', 'low severity', 'moderate severity']","[0.38351646065711975, 0.23210133612155914, 0.18371039628982544, 0.12351913005113602, 0.07715269178152084]",success
facebook_bart,CORNETAL HYPERTROPHY AND SEPTAL DEVIATION,f7b91a1ce07d166fbf2560109197b4a6,high severity,0.4785933494567871,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.4785933494567871, 0.2870485782623291, 0.13387514650821686, 0.06033454090356827, 0.04014842212200165]",success
facebook_bart,CORNETAL HYPERTROPHY,26df8ced906ec3d3e5bb1f365225acdf,high severity,0.7678803205490112,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.7678803205490112, 0.14316397905349731, 0.05065733939409256, 0.023525111377239227, 0.014773325063288212]",success
facebook_bart,SATISFIED PARITY,d98a92fc0129b62a925353a1193da548,high severity,0.7471628189086914,"['high severity', 'critical', 'low severity', 'medium severity', 'moderate severity']","[0.7471628189086914, 0.14557808637619019, 0.05136037990450859, 0.036145854741334915, 0.01975291594862938]",success
facebook_bart,HENIA INGUNAL,5d4f7960175191c866888f7328d4ab76,high severity,0.4956701993942261,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.4956701993942261, 0.2649899125099182, 0.12251653522253036, 0.06622497737407684, 0.05059831961989403]",success
